layer_name,scenario_year,data_year
spp_status,2014,2020
spp_status,2015,2020
spp_status,2016,2020
spp_status,2017,2020
spp_status,2018,2020
spp_status,2019,2020
spp_status,2020,2020
ico_status,2014,2014
ico_status,2015,2015
ico_status,2016,2016
ico_status,2017,2017
ico_status,2018,2018
ico_status,2019,2019
ico_status,2020,2019
lsp_status,2014,2014
lsp_status,2015,2015
lsp_status,2016,2016
lsp_status,2017,2017
lsp_status,2018,2018
lsp_status,2019,2019
lsp_status,2020,2020
rao_status_placeholder,2014,2020
rao_status_placeholder,2015,2020
rao_status_placeholder,2016,2020
rao_status_placeholder,2017,2020
rao_status_placeholder,2018,2020
rao_status_placeholder,2019,2020
rao_status_placeholder,2020,2020
ao_need,2008,2007
ao_need,2009,2008
ao_need,2010,2009
ao_need,2011,2010
ao_need,2012,2011
ao_need,2013,2012
ao_need,2014,2013
ao_need,2015,2014
ao_need,2016,2015
ao_need,2017,2016
ao_need,2018,2017
ao_need,2019,2018
ao_need,2020,2018
prs_oa,2014,2014
prs_oa,2015,2015
prs_oa,2016,2016
prs_oa,2017,2016
prs_oa,2018,2016
prs_oa,2019,2016
prs_oa,2020,2016
prs_sst,2014,2013
prs_sst,2015,2014
prs_sst,2016,2015
prs_sst,2017,2016
prs_sst,2018,2017
prs_sst,2019,2017
prs_sst,2020,2017
prs_uv,2014,2013
prs_uv,2015,2014
prs_uv,2016,2015
prs_uv,2017,2016
prs_uv,2018,2017
prs_uv,2019,2018
prs_uv,2020,2019
prs_slr,2014,2013
prs_slr,2015,2014
prs_slr,2016,2015
prs_slr,2017,2016
prs_slr,2018,2017
prs_slr,2019,2018
prs_slr,2020,2019
eco_status,2014,2018
eco_status,2015,2018
eco_status,2016,2018
eco_status,2017,2018
eco_status,2018,2018
eco_status,2019,2019
eco_status,2020,2020
fp_targetharvest,2012,2010
fp_targetharvest,2013,2011
fp_targetharvest,2014,2012
fp_targetharvest,2015,2013
fp_targetharvest,2016,2014
fp_targetharvest,2017,2015
fp_targetharvest,2018,2016
fp_targetharvest,2019,2017
fp_targetharvest,2020,2017
g_cites,2012,2012
g_cites,2013,2013
g_cites,2014,2014
g_cites,2015,2015
g_cites,2016,2016
g_cites,2017,2017
g_cites,2018,2017
g_cites,2019,2017
g_cites,2020,2017
hab_coral_extent,2014,2017
hab_coral_extent,2015,2017
hab_coral_extent,2016,2017
hab_coral_extent,2017,2017
hab_coral_extent,2018,2017
hab_coral_extent,2019,2017
hab_coral_extent,2020,2017
hab_coral_health,2014,2012
hab_coral_health,2015,2012
hab_coral_health,2016,2012
hab_coral_health,2017,2012
hab_coral_health,2018,2012
hab_coral_health,2019,2012
hab_coral_health,2020,2012
hab_coral_trend,2014,2012
hab_coral_trend,2015,2012
hab_coral_trend,2016,2012
hab_coral_trend,2017,2012
hab_coral_trend,2018,2012
hab_coral_trend,2019,2012
hab_coral_trend,2020,2012
hab_land_extent,2014,2020
hab_land_extent,2015,2020
hab_land_extent,2016,2020
hab_land_extent,2017,2020
hab_land_extent,2018,2020
hab_land_extent,2019,2020
hab_land_extent,2020,2020
hab_land_health,2014,2020
hab_land_health,2015,2020
hab_land_health,2016,2020
hab_land_health,2017,2020
hab_land_health,2018,2020
hab_land_health,2019,2020
hab_land_health,2020,2020
hab_land_trend,2014,2020
hab_land_trend,2015,2020
hab_land_trend,2016,2020
hab_land_trend,2017,2020
hab_land_trend,2018,2020
hab_land_trend,2019,2020
hab_land_trend,2020,2020
hab_mangrove_extent,2012,2015
hab_mangrove_extent,2013,2015
hab_mangrove_extent,2014,2015
hab_mangrove_extent,2015,2015
hab_mangrove_extent,2016,2015
hab_mangrove_extent,2017,2015
hab_mangrove_extent,2018,2015
hab_mangrove_extent,2019,2015
hab_mangrove_extent,2020,2015
hab_mangrove_health,2012,2012
hab_mangrove_health,2013,2012
hab_mangrove_health,2014,2012
hab_mangrove_health,2015,2012
hab_mangrove_health,2016,2012
hab_mangrove_health,2017,2012
hab_mangrove_health,2018,2012
hab_mangrove_health,2019,2012
hab_mangrove_health,2020,2012
hab_mangrove_trend,2012,2012
hab_mangrove_trend,2013,2013
hab_mangrove_trend,2014,2014
hab_mangrove_trend,2015,2015
hab_mangrove_trend,2016,2015
hab_mangrove_trend,2017,2015
hab_mangrove_trend,2018,2015
hab_mangrove_trend,2019,2015
hab_mangrove_trend,2020,2015
hab_rockyreef_extent,2000,2012
hab_rockyreef_extent,2001,2012
hab_rockyreef_extent,2002,2012
hab_rockyreef_extent,2003,2012
hab_rockyreef_extent,2004,2012
hab_rockyreef_extent,2005,2012
hab_rockyreef_extent,2006,2012
hab_rockyreef_extent,2007,2012
hab_rockyreef_extent,2008,2012
hab_rockyreef_extent,2009,2012
hab_rockyreef_extent,2010,2012
hab_rockyreef_extent,2011,2012
hab_rockyreef_extent,2012,2012
hab_rockyreef_extent,2013,2012
hab_rockyreef_extent,2014,2012
hab_rockyreef_extent,2015,2012
hab_rockyreef_extent,2016,2012
hab_rockyreef_extent,2017,2012
hab_rockyreef_extent,2018,2012
hab_rockyreef_extent,2019,2012
hab_rockyreef_extent,2020,2012
hab_saltmarsh_extent,2012,2012
hab_saltmarsh_extent,2013,2012
hab_saltmarsh_extent,2014,2012
hab_saltmarsh_extent,2015,2012
hab_saltmarsh_extent,2016,2012
hab_saltmarsh_extent,2017,2012
hab_saltmarsh_extent,2018,2012
hab_saltmarsh_extent,2019,2012
hab_saltmarsh_extent,2020,2012
hab_saltmarsh_health,2012,2012
hab_saltmarsh_health,2013,2012
hab_saltmarsh_health,2014,2012
hab_saltmarsh_health,2015,2012
hab_saltmarsh_health,2016,2012
hab_saltmarsh_health,2017,2012
hab_saltmarsh_health,2018,2012
hab_saltmarsh_health,2019,2012
hab_saltmarsh_health,2020,2012
hab_saltmarsh_trend,2012,2012
hab_saltmarsh_trend,2013,2012
hab_saltmarsh_trend,2014,2012
hab_saltmarsh_trend,2015,2012
hab_saltmarsh_trend,2016,2012
hab_saltmarsh_trend,2017,2012
hab_saltmarsh_trend,2018,2012
hab_saltmarsh_trend,2019,2012
hab_saltmarsh_trend,2020,2012
hab_seagrass_extent,2012,2012
hab_seagrass_extent,2013,2012
hab_seagrass_extent,2014,2012
hab_seagrass_extent,2015,2012
hab_seagrass_extent,2016,2012
hab_seagrass_extent,2017,2012
hab_seagrass_extent,2018,2012
hab_seagrass_extent,2019,2012
hab_seagrass_extent,2020,2012
hab_seagrass_health,2012,2012
hab_seagrass_health,2013,2012
hab_seagrass_health,2014,2012
hab_seagrass_health,2015,2012
hab_seagrass_health,2016,2012
hab_seagrass_health,2017,2012
hab_seagrass_health,2018,2012
hab_seagrass_health,2019,2012
hab_seagrass_health,2020,2012
hab_seagrass_trend,2012,2012
hab_seagrass_trend,2013,2012
hab_seagrass_trend,2014,2012
hab_seagrass_trend,2015,2012
hab_seagrass_trend,2016,2012
hab_seagrass_trend,2017,2012
hab_seagrass_trend,2018,2012
hab_seagrass_trend,2019,2012
hab_seagrass_trend,2020,2012
hab_seaice_extent,2012,2016
hab_seaice_extent,2013,2016
hab_seaice_extent,2014,2016
hab_seaice_extent,2015,2016
hab_seaice_extent,2016,2016
hab_seaice_extent,2017,2016
hab_seaice_extent,2018,2016
hab_seaice_extent,2019,2016
hab_seaice_extent,2020,2016
hab_seaice_health,2012,2011
hab_seaice_health,2013,2012
hab_seaice_health,2014,2013
hab_seaice_health,2015,2014
hab_seaice_health,2016,2015
hab_seaice_health,2017,2016
hab_seaice_health,2018,2017
hab_seaice_health,2019,2018
hab_seaice_health,2020,2018
hab_seaice_trend,2012,2011
hab_seaice_trend,2013,2012
hab_seaice_trend,2014,2013
hab_seaice_trend,2015,2014
hab_seaice_trend,2016,2015
hab_seaice_trend,2017,2016
hab_seaice_trend,2018,2017
hab_seaice_trend,2019,2018
hab_seaice_trend,2020,2018
hab_softbottom_extent,2012,2012
hab_softbottom_extent,2013,2012
hab_softbottom_extent,2014,2012
hab_softbottom_extent,2015,2012
hab_softbottom_extent,2016,2012
hab_softbottom_extent,2017,2012
hab_softbottom_extent,2018,2012
hab_softbottom_extent,2019,2012
hab_softbottom_extent,2020,2012
hab_softbottom_health,2012,2009
hab_softbottom_health,2013,2010
hab_softbottom_health,2014,2011
hab_softbottom_health,2015,2012
hab_softbottom_health,2016,2013
hab_softbottom_health,2017,2014
hab_softbottom_health,2018,2015
hab_softbottom_health,2019,2015
hab_softbottom_health,2020,2015
hab_softbottom_trend,2012,2009
hab_softbottom_trend,2013,2010
hab_softbottom_trend,2014,2011
hab_softbottom_trend,2015,2012
hab_softbottom_trend,2016,2013
hab_softbottom_trend,2017,2014
hab_softbottom_trend,2018,2015
hab_softbottom_trend,2019,2015
hab_softbottom_trend,2020,2015
hd_intertidal,2012,2012
hd_intertidal,2013,2013
hd_intertidal,2014,2014
hd_intertidal,2015,2015
hd_intertidal,2016,2016
hd_intertidal,2017,2017
hd_intertidal,2018,2018
hd_intertidal,2019,2019
hd_intertidal,2020,2019
res_mpa,2014,2020
res_mpa,2015,2020
res_mpa,2016,2020
res_mpa,2017,2020
res_mpa,2018,2020
res_mpa,2019,2020
res_mpa,2020,2020
hd_mpa_eez,2012,2012
hd_mpa_eez,2013,2013
hd_mpa_eez,2014,2014
hd_mpa_eez,2015,2015
hd_mpa_eez,2016,2016
hd_mpa_eez,2017,2017
hd_mpa_eez,2018,2018
hd_mpa_eez,2019,2019
hd_mpa_eez,2020,2019
hd_subtidal_hb,2012,2012
hd_subtidal_hb,2013,2012
hd_subtidal_hb,2014,2012
hd_subtidal_hb,2015,2012
hd_subtidal_hb,2016,2012
hd_subtidal_hb,2017,2012
hd_subtidal_hb,2018,2012
hd_subtidal_hb,2019,2012
hd_subtidal_hb,2020,2012
hd_subtidal_sb,2012,2009
hd_subtidal_sb,2013,2010
hd_subtidal_sb,2014,2011
hd_subtidal_sb,2015,2012
hd_subtidal_sb,2016,2013
hd_subtidal_sb,2017,2014
hd_subtidal_sb,2018,2015
hd_subtidal_sb,2019,2015
hd_subtidal_sb,2020,2015
li_gci,2012,2011
li_gci,2013,2012
li_gci,2014,2013
li_gci,2015,2014
li_gci,2016,2015
li_gci,2017,2016
li_gci,2018,2017
li_gci,2019,2017
li_gci,2020,2017
liv_status,2012,2012
liv_status,2013,2013
liv_status,2014,2013
liv_status,2015,2013
liv_status,2016,2013
liv_status,2017,2013
liv_status,2018,2013
liv_status,2019,2013
liv_status,2020,2013
liv_trend,2012,2012
liv_trend,2013,2013
liv_trend,2014,2013
liv_trend,2015,2013
liv_trend,2016,2013
liv_trend,2017,2013
liv_trend,2018,2013
liv_trend,2019,2013
liv_trend,2020,2013
prs_po_tr,2014,2019
prs_po_tr,2015,2019
prs_po_tr,2016,2019
prs_po_tr,2017,2019
prs_po_tr,2018,2019
prs_po_tr,2019,2019
prs_po_tr,2020,2019
res_local_emp,2014,2020
res_local_emp,2015,2020
res_local_emp,2016,2020
res_local_emp,2017,2020
res_local_emp,2018,2020
res_local_emp,2019,2020
res_local_emp,2020,2020
sp_genetic,2012,2010
sp_genetic,2013,2011
sp_genetic,2014,2012
sp_genetic,2015,2013
sp_genetic,2016,2014
sp_genetic,2017,2015
sp_genetic,2018,2016
sp_genetic,2019,2017
sp_genetic,2020,2017
res_spp_div,2014,2020
res_spp_div,2015,2020
res_spp_div,2016,2020
res_spp_div,2017,2020
res_spp_div,2018,2020
res_spp_div,2019,2020
res_spp_div,2020,2020
res_biosecurity,2014,2020
res_biosecurity,2015,2020
res_biosecurity,2016,2020
res_biosecurity,2017,2020
res_biosecurity,2018,2020
res_biosecurity,2019,2020
res_biosecurity,2020,2020
species_diversity_eez,2012,2012
species_diversity_eez,2013,2013
species_diversity_eez,2014,2014
species_diversity_eez,2015,2015
species_diversity_eez,2016,2016
species_diversity_eez,2017,2017
species_diversity_eez,2018,2018
species_diversity_eez,2019,2019
species_diversity_eez,2020,2019
prs_mgmt,2014,2020
prs_mgmt,2015,2020
prs_mgmt,2016,2020
prs_mgmt,2017,2020
prs_mgmt,2018,2020
prs_mgmt,2019,2020
prs_mgmt,2020,2020
ss_wgi,2012,2010
ss_wgi,2013,2011
ss_wgi,2014,2012
ss_wgi,2015,2013
ss_wgi,2016,2014
ss_wgi,2017,2015
ss_wgi,2018,2016
ss_wgi,2019,2017
ss_wgi,2020,2017
tr_status,2014,2019
tr_status,2015,2019
tr_status,2016,2019
tr_status,2017,2019
tr_status,2018,2019
tr_status,2019,2019
tr_status,2020,2019
res_mgmt,2014,2020
res_mgmt,2015,2020
